x,y,z
-4.09,9.149,10.641
3.592,18.525,-4.837
-15.687,7.698,6.012
-8.73,13.576,21.341
1.117,4.941,2.215
2.54,-4.617,-18.945
-4.083,7.604,17.18
23.7,2.183,4.594
17.059,-0.115,6.114
0.735,-13.366,7.451
-12.746,-9.661,10.267
3.29,-5.696,-15.54
-14.915,-10.318,10.988
0.373,-4.946,-14.949
23.36,-12.163,-0.095
22.1,-0.768,-8.3
4.956,-11.405,4.491
-7.926,2.947,-9.739
-0.894,-0.19,-23.127
-11.478,10.876,5.413
-17.702,-1.233,-3.459
8.639,11.82,4.168
-18.903,-2.441,15.562
-17.667,-4.189,-11.636
-0.677,5.865,9.338
8.471,9.669,4.348
3.877,13.752,-2.364
-21.686,0.679,-0.208
15.951,-1.893,6.129
2.75,-6.132,-22.777
-19.003,-2.857,-6.77
26.54,-5.481,-6.919
23.25,-0.332,1.523
19.805,-1.105,4.103
9.769,-5.373,0.231
-18.623,2.776,-9.469
3.103,0.396,11.623
0.45,1.386,-7.865
20.836,-3.823,6.019
15.725,-0.465,6.538
4.305,-11.641,-0.996
-16.36,-4.228,11.267
2.738,15.285,-2.589
-12.31,-11.339,11.073
-13.231,-11.589,14.151
24.588,-10.421,3.002
-17.664,-3.835,4.968
-14.186,-10.862,9.067
-7.982,19.155,10.505
-1.872,-15.038,3.942
25.967,2.962,-3.788
5.939,19.719,-8.725
-2.56,-17.644,-5.34
2.093,-5.249,-18.284
3.614,-12.865,-7.865
-18.665,2.233,-2.292
1.291,1.889,-1.564
3.812,9.309,4.884
2.03,-0.039,-23.343
15.996,6.475,6.223
9.867,5.052,12.409
-10.941,11.948,6.871
-5.205,-3.609,-18.33
7.367,8.643,7.556
27.014,-7.892,3.298
-6.436,6.488,9.679
18.425,-5.744,9.564
-5.905,-3.433,8.703
4.751,11.413,3.781
-23.125,-2.96,-10.808
18.69,7.668,4.339
1.602,-10.646,-14.969
-1.683,-6.175,-19.359
1.135,-14.485,10.845
0.325,18.141,-7.524
3.029,-9.955,-16.368
-10.119,-7.601,19.052
-2.142,-9.349,-19.976
-2.685,-7.458,-14.442
0.781,-17.597,-9.891
-10.533,7.729,-4.015
-14.801,-7.281,0.948
-21.178,-2.134,-13.019
-2.207,-15.88,-19.252
-9.611,-1.629,-0.328
-17.946,-5.459,7.188
-3.506,9.358,19.075
-22.291,-0.57,-14.96
5.453,-1.693,14.935
-3.717,8.888,7.108
26.848,-8.34,-2.745
7.39,14.127,10.91
6.526,-7.305,-13.759
24.968,-7.387,-0.687
-22.476,-1.319,-15.037
5.748,-13.597,-14.473
7.078,12.995,2.927
-19.499,0.71,-12.068
6.336,17.234,-0.878
-17.053,-5.925,-4.332
-21.109,-3.826,-10.525
4.654,-1.101,-9.435
-15.993,-0.228,16.065
-20.913,-0.934,-8.112
15.207,-1.44,10.247
0.235,10.817,12.023
-21.114,-5.005,-9.717
15.162,0.133,7.731
1.554,-8.465,-20.002
-14.935,-7.223,14.362
6.59,-3.089,-23.215
-7.962,-8.765,-15.573
26.635,-5.524,2.532
10.555,0.103,1.746
5.078,10.048,-9.996
4.545,13.582,-10.695
-3.542,5.316,-11.231
-3.92,-11.022,-12.035
-8.612,0.064,15.487
0.792,2.15,15.945
-1.939,-2.464,-24.548
18.779,1.124,-1.864
-0.483,-18.494,5.714
-8.925,21.619,9.712
4.256,16.364,3.57
-15.632,-2.464,-3.152
20.665,2.637,5.148
4.64,-0.638,-9.226
-7.325,10.316,22.749
28.456,-5.593,-6.014
-1.083,-0.997,3.315
21.806,-7.9,-0.253
5.487,-14.529,-1.23
22.946,-11.281,0.597
23.958,4.748,-3.663
-22.831,-2.197,-9.757
7.657,-1.385,13.683
-2.445,0.145,4.017
-6.328,-16.74,-7.238
8.339,6.863,3.936
8.343,0.966,12.236
-0.073,5.948,18.198
5.991,9.41,-1.736
5.029,-12.646,-13.258
-19.342,2.414,-9.13
-6.419,-4.001,-20.702
5.026,-13.626,-14.196
-11.968,-5.361,-0.741
-0.075,11.301,17.169
0.746,15.172,-1.104
-18.792,-0.964,-0.066
1.907,-10.495,-14.513
3.835,7.14,-4.21
6.345,5.921,-9.552
10.568,-7.7,1.026
16.544,0.468,11.818
-21.159,-0.877,-7.325
-15.147,-6.598,14.027
-9.076,-10.416,13.734
0.4,-4.114,-19.213
1.694,8.555,5.276
5.259,-8.287,-23.383
-15.501,0.42,-6.959
-0.134,7.689,-7.814
0.192,13.014,15.933
-9.111,12.969,20.75
19.546,-3.55,7.002
-2.968,11.938,3.27
9.39,-5.717,-2.39
-9.476,-4.6,-13.507
-15.538,-2.554,13.346
-10.768,-11.867,13.389
7.167,-3.064,-20.819
7.649,4.198,-4.858
-8.174,-10.751,13.829
3.954,16.74,-1.379
17.631,-3.415,5.093
-20.994,0.187,-6.812
-9.98,9.215,16.495
2.834,8.065,1.378
1.438,3.701,0.236
26.658,-8.838,-0.302
28.719,-1.667,6.167
9.969,-0.32,1.866
-7.06,-14.276,-11.303
8.626,14.489,4.034
26.105,-6.922,-3.206
-8.634,7.855,11.225
22.83,-11.082,0.523
-0.572,-1.691,2.247
0.259,7.163,-7.825
20.391,-5.319,-5.158
-3.831,0.652,-17.613
-0.165,-7.995,-23.648
3.271,-10.617,5.592
1.048,-16.906,-8.015
0.932,-13.638,-10.144
4.878,2.149,12.832
-1.669,-0.008,3.028
2.802,-3.745,-20.566
1.969,-3.556,-20.372
22.615,2.26,8.414
1.132,-4.681,-14.175
24.372,-0.755,2.375
11.938,13.81,-0.692
4.528,-0.664,-6.403
-9.657,2.607,14.193
-6.531,-16.307,-11.267
28.249,-8.356,-4.745
-6.202,-14.164,-10.697
-19.787,-10.18,7.375
-2.761,-4.963,-23.797
-10.667,-8.042,11.422
17.387,-4.298,5.061
20.908,-3.902,7.674
24.886,3.83,5.196
-7.048,-0.24,12.036
24.017,-1.811,-5.564
27.357,-7.368,-3.018
-1.672,4.645,1.298
-18.592,-6.39,13.216
-0.19,-15.251,4.125
2.876,14.209,-8.886
1.218,15.011,-0.85
-3.923,-11.69,-14.347
9.051,-3.01,1.142
18.386,3.257,10.853
-4.102,10.05,9.396
-6.264,7.308,16.674
-4.336,16.839,0.336
-0.571,-10.044,-12.184
3.837,-9.863,-21.34
-1.013,5.204,14.53
6.73,3.013,-7.08
33.85,-3.702,-4.561
-7.178,7.629,12.647
3.076,-8.329,1.975
-0.499,-15.211,4.092
19.53,5.083,9.882
26.315,-10.063,-3.568
3.548,-6.257,-16.0
-19.834,0.367,-12.433
1.36,-0.525,2.044
-21.388,1.323,-4.202
-18.04,-5.731,10.164
18.734,5.816,8.148
-10.588,10.617,7.583
27.487,-3.656,-4.98
2.345,10.988,7.141
3.292,-14.024,1.979
0.625,13.244,1.881
2.449,2.138,-6.61
-9.994,13.452,21.384
20.804,-3.942,7.524
6.327,12.916,1.021
-21.581,-1.462,-8.238
18.622,-5.774,9.415
-0.117,0.578,-7.817
-18.438,2.406,-8.14
17.401,-4.043,7.147
-12.486,-10.365,8.661
-8.133,-1.974,8.74
2.617,3.529,2.525
1.083,14.205,-8.194
-23.44,-2.549,-0.22
23.373,1.697,4.075
2.141,-15.672,-0.972
23.297,1.579,3.881
5.788,11.548,-11.919
-7.225,-1.421,14.214
1.743,13.896,-3.173
-7.966,13.354,20.078
20.643,1.311,4.275
-25.589,-1.136,-14.185
12.53,3.363,-5.1
0.179,5.552,-3.473
-18.036,-2.599,5.484
0.254,1.085,-7.852
-11.673,-6.588,19.655
15.612,6.236,3.655
21.599,1.217,-0.643
1.196,-5.454,0.332
-6.151,-15.002,-9.366
-17.65,12.449,4.932
1.843,12.165,1.281
-13.567,4.458,12.161
25.399,0.934,1.507
-7.891,4.645,-7.732
10.613,-6.465,0.353
1.876,-12.603,0.41
17.505,4.408,-1.024
-5.223,-18.034,4.672
15.435,2.376,7.433
-6.539,-2.673,12.142
1.038,13.631,1.518
3.704,9.484,2.084
-3.622,-6.297,-11.344
-18.596,0.931,6.48
19.529,3.961,8.043
-9.007,-6.153,-21.238
3.491,-15.576,5.805
1.895,-7.796,3.328
9.897,5.926,-3.995
-9.715,5.68,5.116
-19.839,-4.043,-4.56
-1.161,-1.812,-17.723
19.801,-6.091,8.085
0.334,-15.596,-9.155
-5.112,3.958,10.107
2.864,-9.797,7.349
-6.935,2.358,14.699
2.194,11.388,-6.366
21.343,-6.842,7.722
5.234,11.035,4.491
0.169,3.998,10.333
2.622,6.993,-0.732
3.063,5.017,-4.44
-21.447,0.341,-0.608
-25.096,-1.147,-13.161
4.941,9.356,-7.246
-4.074,9.011,5.344
3.871,-9.862,-21.36
-4.481,0.268,12.995
-8.89,0.346,12.634
15.629,5.801,3.398
3.248,16.766,-0.62
-4.463,-11.499,-21.509
-4.062,-8.35,1.71
-1.602,-6.121,-11.463
2.026,-11.051,0.377
-11.648,10.741,5.631
-0.868,10.893,-1.263
-17.877,0.63,-3.957
28.408,-5.015,-4.852
26.727,-9.343,-2.878
10.474,14.035,-0.438
-21.385,2.107,-8.94
-5.947,-11.143,-19.768
-8.242,-11.21,13.68
0.363,-15.324,-10.451
20.096,-6.849,6.619
1.547,-12.294,2.997
-5.01,13.16,14.915
3.395,-1.914,-3.057
-0.567,-10.2,-18.816
-18.494,2.224,-5.2
-13.24,-10.214,12.631
23.585,-2.848,7.04
-0.152,-15.989,-14.713
6.527,-7.158,-22.73
-2.854,-12.094,-16.241
4.847,0.712,-5.727
-0.629,-13.395,-13.242
-7.214,5.279,1.783
4.498,14.264,-0.36
0.716,-14.514,8.643
1.162,-11.291,-14.355
-14.565,-9.86,10.011
-14.442,-10.084,10.189
-6.988,-1.607,7.521
-0.583,6.708,16.171
6.856,8.201,3.123
-22.876,-1.236,-10.897
18.241,7.219,3.139
-6.282,-14.49,-10.803
18.015,6.583,3.485
-7.276,2.504,14.908
3.179,7.951,-11.615
4.102,3.296,-1.82
9.652,11.288,0.54
-2.424,-17.26,-11.542
-3.94,-8.039,-16.455
-6.353,4.16,-9.924
-5.512,-2.883,7.622
-23.615,-3.08,-13.585
19.056,-7.624,5.325
6.562,8.794,-7.255
-6.682,-1.124,8.292
-3.943,-15.018,6.704
-21.933,-0.86,-2.668
-3.563,-3.9,-18.34
-8.061,18.435,11.524
22.561,-6.977,5.387
-5.184,14.083,7.414
20.223,-1.354,0.137
-20.342,-5.363,8.935
-8.97,-6.447,-15.84
-14.955,10.652,7.511
-5.059,16.768,-0.138
-13.561,15.224,9.604
7.413,-13.045,-15.573
-5.87,-12.753,-8.472
-9.238,16.574,19.015
-9.764,-8.562,18.862
-24.347,0.885,-0.272
6.455,-6.414,-6.563
-22.146,0.019,-5.069
-16.981,-5.417,-9.218
-18.137,-5.24,4.101
-3.68,16.843,8.134
10.25,5.927,-5.051
-10.538,11.336,13.5
2.545,-12.566,-8.454
-4.798,-2.023,-15.934
0.57,6.911,0.962
6.632,-10.742,-20.66
-5.711,9.946,18.625
-13.954,11.348,6.131
-0.414,-11.906,-17.99
-17.367,-7.477,13.773
3.04,-4.916,-0.811
2.265,14.414,-11.379
4.394,14.679,0.775
-19.675,-11.075,8.384
-8.783,4.641,8.865
-4.87,-13.158,-15.24
-1.278,-15.035,-18.515
29.433,-3.833,-1.704
-6.518,4.265,7.768
-10.519,7.661,-3.961
0.523,6.944,-2.105
3.288,-14.392,-9.988
25.923,-7.265,-1.676
-4.869,-18.495,-9.439
-18.072,-8.186,14.137
6.213,8.302,-13.178
18.12,6.373,1.684
3.245,9.263,-6.174
20.178,-1.352,1.18
-5.432,-4.34,-21.633
-13.493,5.919,14.701
-6.736,7.586,11.487
-5.386,10.306,7.904
-10.948,16.591,-0.426
-4.193,5.707,-10.717
5.595,6.023,0.056
26.406,-7.894,-0.651
-17.463,-6.468,12.354
9.242,4.161,-8.478
-5.277,-5.824,-22.328
3.692,-13.687,7.779
17.942,-4.61,7.385
1.296,7.527,-6.51
-3.587,-8.831,-8.198
-5.169,-3.657,8.336
22.004,2.046,-3.231
-6.612,3.817,-7.42
18.619,1.395,5.633
2.044,0.762,10.762
6.376,-2.323,-5.646
29.038,-3.676,-4.099
-21.524,0.981,-8.576
-5.073,-7.847,-21.435
-8.63,-6.351,-18.667
-1.741,9.794,1.06
23.086,-11.6,0.107
4.411,16.005,-8.815
-8.866,16.716,20.362
-7.795,10.441,7.866
-9.236,21.916,9.54
-6.191,1.021,-8.654
-13.942,-5.04,4.642
21.266,-6.662,7.375
6.831,2.258,-12.522
-18.377,2.306,-8.357
9.743,-1.277,-3.191
20.867,-9.084,-4.829
-1.071,-16.265,-19.347
3.962,-4.579,-21.256
-7.968,12.316,8.599
-18.419,-5.885,10.332
-0.732,5.656,14.847
-6.571,7.446,11.572
27.655,-6.055,0.671
-17.635,-3.442,1.965
17.725,0.635,9.116
4.673,16.388,-7.174
-7.4,7.712,13.6
3.03,8.488,4.094
-21.438,1.22,-8.783
-2.92,-9.941,-11.484
-18.11,10.106,11.692
-0.791,-13.364,-12.918
-19.25,1.85,5.533
7.348,15.541,2.997
-2.142,-1.884,-23.247
5.553,-11.062,-0.739
-16.166,-0.221,-8.262
7.97,7.262,-10.751
21.826,-7.505,-0.046
1.428,14.348,-7.065
22.046,1.621,0.138
2.971,-7.333,-15.028
7.982,2.46,11.393
-20.293,1.648,1.924
0.372,11.637,1.428
-15.957,-5.351,7.29
9.598,4.265,12.41
-21.007,-1.18,-6.301
-14.604,-3.351,8.505
-10.593,-7.761,17.683
-4.912,10.989,-6.85
5.201,-6.053,-2.921
-2.659,-0.216,-17.263
2.496,-3.924,-1.539
-3.135,13.47,-13.189
-1.939,-2.077,-23.204
-2.088,15.59,-12.905
1.77,18.553,-11.145
-21.909,1.037,-5.757
2.105,13.58,3.376
-3.473,0.053,-8.282
-0.526,-1.537,-23.503
-7.347,13.183,7.255
-19.327,-1.91,10.469
3.704,-4.328,-16.339
3.403,9.024,-6.839
10.186,-0.311,0.875
25.076,-7.65,1.392
4.112,-11.437,6.083
-20.021,-2.781,13.926
